,prompt,response,profileId,targetAgeGroup,genderIdentity,educationBackground,targetProfession,digitalLiteracy,geoRegion,householdIncomeStatus,targetRole,promptIntentType,reasoningComplexity,geographicContext,sensitiveInformationPresent,vulnerableGroupTargeted,confidenceScore,serviceDomain,subServiceDomain,topic,pageURL,sourceURL,sourceDomain,sourceLicense,documentType,dateCreated,language,inputFile
3523,I need to guide a student who has received poor exam results. How can I help them access the National Careers Service Exam Results Helpline?,"Yes, you can direct the student to call the National Careers Service Exam Results Helpline at 0800 100 900 for free advice. This service is available from A level results day until a week after GCSE results day. The adviser can offer support in exploring alternative career paths, training opportunities, and apprenticeships. It's important to encourage the student to use this resource to gain clarity and direction after receiving unexpected results.",3322ede3cb,26-45,female,secondary,teacher,high,England,moderate,service-user,instructional,medium,UK-wide,False,False,0.95,Education,Career Guidance,Exam Results Support,file:///media/volume/data4t/odi_datasets/scraped_content/target1469.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1469.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1469.txt
12207,What happens if I don't respond to the single justice procedure notice within 21 days?,"If you don't respond to the notice within 21 days, the magistrate will make a decision about your case without your input. This could result in you being found guilty and receiving a higher fine or penalty points. Money may also be taken from your pay or benefits. However, you can request to have your case reopened if you didn't know about it, but you must do this within 21 days of finding out about your case. It's important to respond to avoid potential penalties and to have a chance to present your side of the story.",6bbde0c61b,46-65,female,secondary,teacher,high,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,justice,criminal justice,single justice procedure,file:///media/volume/data4t/odi_datasets/scraped_content/target2139.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2139.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2139.txt
18233,I'm a UK resident and I've recently moved house. How do I update my address for my National Insurance number?,"If you've already applied for a National Insurance number and moved house, you should call the application helpline. You'll need your application reference number, which is found at the top of the confirmation email you received after applying. If you've moved and your personal details have changed, you can also call the helpline for assistance. It's important to update your address to ensure you receive any communications related to your National Insurance number. This includes updates about your entitlements and any necessary actions required by the government.",cf1c2ae873,65+,male,secondary,retail,medium,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,tax,national-insurance,national-insurance-number,file:///media/volume/data4t/odi_datasets/scraped_content/target2388.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2388.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2388.txt
21373,What documents do I need to bring to a number plate supplier in Wales?,"To get a new number plate, you need to bring your original documents. These include a passport to prove your identity and a V5 vehicle registration certificate to show you're entitled to the registration number. The supplier will check these documents to verify your information. Make sure you have both documents with you when you visit the supplier.",57670f5b02,under18,male,secondary,teacher,high,Wales,above moderate,service-user,instructional,low,UK-wide,False,False,0.9,Transport,Vehicle Registration,Number Plates,file:///media/volume/data4t/odi_datasets/scraped_content/target1177.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1177.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1177.txt
19553,I'm starting a new business in West Yorkshire and I need support for growth. What kind of assistance can I get?,"If you're starting a new business in West Yorkshire, you may be eligible for various forms of assistance. One option is the AD:VENTURE Business Growth Grant, which is specifically available to new businesses in the region. This grant can help with growth initiatives. Additionally, there are business development support services like AD:VENTURE, which provide free guidance and support for business development. You might also consider accessing low-cost workspace through Barking Enterprise Centres in London, although this is not specific to West Yorkshire. It's advisable to explore local business support programs, such as those offered by the Business Support Programme in Adur and Worthing, which provide free events, online learning, and mentoring. You can also look into the Better Business Finance directory to find approved finance suppliers. Engaging with these resources can help you navigate the challenges of starting and growing your business in West Yorkshire.",2e49ecba14,65+,male,secondary,retail,low,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,business,support,business growth support,file:///media/volume/data4t/odi_datasets/scraped_content/target479.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target479.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target479.txt
4208,"If I work irregular hours, how do I calculate my statutory holiday entitlement?","If you work irregular hours, your statutory holiday entitlement is based on the average number of hours you work each week. You can use the holiday entitlement calculator to estimate your entitlement. For leave years starting on or before 31 March 2024, you do not need to accrue leave based on hours worked previously. Instead, you can calculate your entitlement based on the average days or hours you work each week.",5d2590682f,26-45,male,secondary,student,low,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,employment,holiday entitlement,statutory leave,file:///media/volume/data4t/odi_datasets/scraped_content/target1705.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1705.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1705.txt
23666,I'm 17 and I'm homeless. What can I expect from the council's Children's Services?,"If you're 17 and homeless, you should contact your local council's Children's Services. They will provide you with temporary shelter and support. They will also try to help you return home if it's safe. If returning home isn't possible, they can find alternative accommodation for you. They will also consider your needs and provide support to ensure your safety and well-being.",94862127a7,18-25,male,tertiary,student,low,England,moderate,service-user,procedural,medium,UK-wide,False,True,0.95,housing,homelessness,childrens-services,file:///media/volume/data4t/odi_datasets/scraped_content/target1847.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1847.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1847.txt
8723,How much does it cost to apply for administrative restoration of a dissolved company?,"The cost to apply for administrative restoration of a dissolved company is £468, which must be paid to Companies House. This fee covers the administrative process of restoring your company. Additionally, you may need to cover any outstanding filing fees or penalty payments if they exist. It's important to ensure all required documents are included with your application to avoid delays or rejections.",f097d94908,26-45,male,secondary,nurse,low,Scotland,moderate,service-user,instructional,medium,UK-wide,False,False,0.95,business,debt and bankruptcy,company restoration,file:///media/volume/data4t/odi_datasets/scraped_content/target531.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target531.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target531.txt
10208,I'm a teacher and I need to explain the seat belt law to my students. What are the key points I should cover?,"The seat belt law requires everyone in a vehicle to wear a seat belt if one is fitted. There are very few exceptions to this rule. If you don't wear a seat belt when required, you can be fined up to £500. For children, they must use the correct car seat until they are 135cm tall or turn 12, whichever comes first. Children aged 12 or 13, or those over 135cm, must wear a seat belt. Failure to follow these rules can result in a fine of up to £500 for the child's parent or guardian.",dacd4f3659,46-65,male,tertiary,teacher,low,Wales,moderate,service-user,instructional,medium,UK-wide,False,False,0.95,transport,road safety,seat belt law,file:///media/volume/data4t/odi_datasets/scraped_content/target1222.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1222.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1222.txt
4961,Can I apply for funding if I'm planning a project that involves setting up a charity?,"If you're planning to set up a charity, you can still apply for funding from your local council. They may have specific grants or support programs for charitable initiatives. Contact your council to learn about the requirements and how to apply. Additionally, you can explore other resources such as finding a community support group or applying for Youth Opportunity Funding to see if they align with your project's goals.",dcc8bdbe32,26-45,male,tertiary,retail,medium,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Housing,Local Services,Charity Funding,file:///media/volume/data4t/odi_datasets/scraped_content/target1929.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1929.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1929.txt
13434,"I've tried talking to my manager about a problem at work, but I'm still not happy. What steps should I take to formally raise a grievance?","Yes, you can formally raise a grievance if you're not satisfied after discussing it informally with your manager. Your employer should have a written grievance procedure that outlines the process. You'll need to write down your concerns and submit them, then you'll have a meeting to discuss the issue. If you disagree with the outcome, you can appeal. It's important to follow the procedure outlined by your employer to ensure your complaint is handled properly.",34e7639a0b,46-65,female,secondary,student,low,Wales,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,employment,grievance procedures,raising grievances,file:///media/volume/data4t/odi_datasets/scraped_content/target2692.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2692.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2692.txt
18184,I'm a retired person in Scotland and I've left the UK for more than 3 months. What do I need to do to ensure I'm not accruing arrears on my student loan?,"You need to inform the Student Loans Company (SLC) that you're leaving the UK for more than 3 months. This includes if you're going on travel or moving overseas. You should update your employment details with the SLC. If you don't, you might end up paying more than you need to, and you could accrue arrears on your account. You'll need to provide proof, like a recent bank statement, showing your overseas income is below the threshold to avoid arrears. It's important to keep your contact details up to date in your online account so you can receive messages about your loan.",33c09e31a5,65+,male,secondary,retired,low,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Tax,Student Loans,Repaying Student Loans,file:///media/volume/data4t/odi_datasets/scraped_content/target2366.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2366.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2366.txt
11189,"As a teacher in Wales, I'm considering employing an apprentice. What are the key responsibilities I have towards the apprentice once they are hired?","Once you hire an apprentice in Wales, you are responsible for ensuring they work with experienced staff, learn job-specific skills, and receive time off during their working week for apprenticeship training. You must also pay the apprentice at least the minimum wage and ensure the apprenticeship lasts at least a year. If you're not training the apprentice yourself, you can use a flexi-job apprenticeship agency, which employs the apprentice but places them in your organisation. It's important to maintain clear communication and provide a supportive environment to help the apprentice succeed in their role.",75cf3e78ef,46-65,female,tertiary,teacher,high,Wales,above moderate,service-user,procedural,medium,Wales,False,False,0.95,employment,recruiting and hiring,apprenticeships,file:///media/volume/data4t/odi_datasets/scraped_content/target1676.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1676.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1676.txt
10424,I need to pay the HGV levy before entering the UK. What are the steps to complete the payment and what information do I need to provide?,"To pay the HGV levy, you need to know the front licence plate number of your vehicle. You can pay via credit or debit card, fuel card, bank transfer, PayPal, or prepayment through your account. Creating an account allows you to manage payments, view payment history, and register your vehicles. If you prefer, you can also pay by phone using the provided number. Make sure to check if your vehicle is exempt, especially if it's zero emission, as this could affect your payment requirements.",654bad1e93,46-65,male,tertiary,nurse,high,Scotland,above moderate,service-user,instructional,medium,UK-wide,False,False,0.95,Transport,Driving,HGV Levy,file:///media/volume/data4t/odi_datasets/scraped_content/target1324.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1324.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1324.txt
18325,I'm 65 and need help with my tax return because I don't speak English well. What options are available for getting support with this?,"If you don't speak English well, you can contact HMRC directly for assistance. They can provide help with tax returns, allowances, and tax codes. Additionally, you may be eligible for free professional advice if you're on a low income, which includes support with filling in forms and dealing with debts. You can also request a 'trusted helper' to assist you with your tax return. This person can view your Income Tax estimate, talk to HMRC on your behalf, or help you complete the necessary forms. It's important to reach out for support as soon as possible to avoid complications.",2cf392759d,65+,male,secondary,retired,medium,Wales,moderate,service-user,procedural,low,UK-wide,False,True,0.95,tax,self-assessment,tax assistance,file:///media/volume/data4t/odi_datasets/scraped_content/target2429.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2429.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2429.txt
7213,"I've heard that some company benefits are tax-free, such as childcare and canteen meals. How can I confirm if my employer is correctly categorizing these benefits and what should I do if they aren't?","To confirm if your employer is correctly categorizing benefits, review your payslip and look for notes indicating which benefits are tax-free. If you're unsure, you can ask your employer's HR or payroll department for clarification. They should provide details on how they determine which benefits are taxable and which are not. If you believe a benefit should be tax-free but is being taxed, you can raise this with your employer in writing. They may need to adjust your tax calculations accordingly. Keeping records of any correspondence will help if further questions arise.",fbccbb3390,26-45,female,tertiary,student,high,Wales,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Tax,Income Tax,Company Benefits,file:///media/volume/data4t/odi_datasets/scraped_content/target2355.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2355.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2355.txt
10613,I want to pay for the Driver CPC training records for my students. What are the payment options and how do I set up a pre-funded account?,"You can pay for Driver CPC training records either by debit or credit card, or by debiting a pre-funded account set up with the DVSA. To set up a pre-funded account, you need to deposit funds with the DVSA in advance. This allows you to pay the fee directly from your account when recording training details. The fee is £1.25 per driver per hour of training. If you choose the pre-funded account option, you can manage your payments more efficiently by having funds available upfront. Contact the DVSA for assistance with setting up or managing your pre-funded account.",76b16a49d6,46-65,female,secondary,retired,medium,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Transport,Driver Licensing,Driver CPC Training Payment,file:///media/volume/data4t/odi_datasets/scraped_content/target1416.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1416.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1416.txt
15964,I'm an MOT tester and need to record the results of an MOT test I did. How do I access the service and what do I need to log in?,"To record MOT test results, you need to create an account first. Once you have an account, you'll need your user ID and password to log in. If you already have an account, you can start recording results immediately. If you need help, you can call the MOT testing service desk for assistance. It's important to ensure your login details are secure and you're using the correct account.",ebc51321bc,65+,female,secondary,retired,low,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.9,Transport,MOT Testing,MOT Testing Service,file:///media/volume/data4t/odi_datasets/scraped_content/target1360.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1360.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1360.txt
4545,Are there different services for checking flooding in different parts of the UK?,"Yes, there are different services for checking flooding depending on which part of the UK you're in. For example, the Environment Countryside: Flooding service applies to England, while separate services exist for Wales, Scotland, and Northern Ireland. Each region has its own specific flood monitoring and warning systems. If you're in Wales, you should use the Welsh government's flood service, and similar services are available in Scotland and Northern Ireland. It's important to use the correct service for your location to ensure accurate information.",90e0d559ea,26-45,male,secondary,retired,high,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,environment,flooding,flood risk assessment,file:///media/volume/data4t/odi_datasets/scraped_content/target1797.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1797.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1797.txt
16953,I found some coins on the beach. How do I know if they're treasure and what should I do next?,"To determine if the coins are treasure, check if they meet the legal definition of treasure, which typically includes gold, silver, or other precious metals. If they are classified as treasure, you must report them to your local Finds Liaison Officer within 14 days. Failure to report could result in penalties. Reporting ensures the items are assessed and potentially returned to their rightful owners. If unsure, contact the Finds Liaison Officer for guidance.",0c2d489a24,65+,male,secondary,retail,high,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,environment,treasure-reporting,reporting-treasure,file:///media/volume/data4t/odi_datasets/scraped_content/target1811.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1811.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1811.txt
5924,I have a medical condition that affects my eyesight and I'm worried about whether I can still drive. What steps should I take to inform the DVLA and ensure my licence remains valid?,"If you have a medical condition affecting your eyesight, you must inform the DVLA immediately. They will assess your situation and determine if you meet the required standards for driving. If you need glasses or contact lenses to meet the standards, you must wear them every time you drive. You may need to undergo an eyesight test with DVSA at a driving test centre. If you fail to meet the standards, your licence may be revoked, and you could face legal consequences. It's important to act quickly and provide accurate information to the DVLA.",a0bba78853,26-45,male,secondary,teacher,medium,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Transport,Driving Licences,Eyesight and Medical Conditions,file:///media/volume/data4t/odi_datasets/scraped_content/target1197.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1197.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1197.txt
13733,"Can I get help paying for childcare provided by a relative, like my sister, and what are the conditions for this?","In England, you can only get Tax-Free Childcare for childcare provided by a relative if they are a registered childminder and care for your child outside your home. You cannot get free childcare if you're working for care provided by a relative. In Wales, you can get help if the relative is a registered childminder and cares for your child outside your home. In Scotland, you can only get help if the relative is a registered childminder and cares for your child outside your home. In Northern Ireland, the relative must be in a childcare approval scheme, care for your child outside your home, and care for at least one other child that is not related to you. Always check with the local authority or relevant inspectorate for specific conditions.",fb596ab8ef,46-65,female,tertiary,retired,low,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,childcare,financial support,approved childcare,file:///media/volume/data4t/odi_datasets/scraped_content/target322.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target322.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target322.txt
2921,Can I get help deciding which HGV driver training course to choose in Wales?,"Yes, you can get help deciding which HGV driver training course to choose in Wales. Local authorities and careers advisors can provide guidance based on your personal circumstances and career goals. Vocational qualifications, apprenticeships, and private driving schools are all viable options. You should contact your local authority or visit the official government website for more information on available courses and support services in Wales.",bafa3dde69,26-45,male,tertiary,nurse,medium,Wales,above moderate,service-user,procedural,moderate,Wales,False,False,0.9,transportation,driver licensing,advice on choosing HGV driver training in Wales,file:///media/volume/data4t/odi_datasets/scraped_content/target1286.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1286.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1286.txt
9143,I'm a nurse in Wales and I want to expand my business in scientific research and development. What resources are available to help me grow my business?,"To help you grow your business in scientific research and development, you can access free advice and support through the Business Wales Helpline. They provide assistance with running and expanding a business, including guidance on selling overseas and accessing investment opportunities. You can reach them by calling 0300 060 3000, available Monday to Friday from 10am to 4pm (excluding bank holidays). Additionally, the website business.gov.uk offers comprehensive resources for business growth, including information on financial support and market expansion. These resources can help you navigate the complexities of scaling your business in the scientific research and development field.",913474d1e1,26-45,male,tertiary,nurse,low,Wales,above moderate,service-user,instructional,medium,Wales,False,False,0.95,business support,growing a business,business support for scientific research and development,file:///media/volume/data4t/odi_datasets/scraped_content/target721.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target721.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target721.txt
7759,I have a criminal record and am in immigration detention. How does this affect my chances of getting bail?,"Having a criminal record can make it harder to get bail. The Home Office considers the risk of reoffending when deciding on bail. If you have a history of breaking bail conditions, this could further reduce your chances. It's important to explain any changes in your situation in your application, as this might influence the decision. However, having a criminal record alone does not automatically mean you won't get bail. You should still apply and provide all relevant information.",6a5b0fc8c5,26-45,male,tertiary,retail,medium,Scotland,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,immigration,detention,immigration bail,file:///media/volume/data4t/odi_datasets/scraped_content/target2600.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2600.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2600.txt
6852,I'm worried about a friend who might be getting forced into a marriage. What should I do to help them and report this to the authorities?,"If you suspect a friend is being forced into a marriage, contact the Forced Marriage Unit (FMU) immediately. They provide free advice and can help find a safe place for your friend. The FMU can also assist in stopping a UK visa if someone has been forced to sponsor another person. Provide as much detail as possible, such as where your friend has gone and when they were supposed to return. The FMU will contact the relevant embassy if needed, especially if your friend is abroad. It's important to act quickly to ensure your friend's safety.",f0423d837b,26-45,female,secondary,student,high,Wales,above moderate,service-user,procedural,medium,UK-wide,False,True,0.95,justice,reporting-crimes,forced-marriage,file:///media/volume/data4t/odi_datasets/scraped_content/target2193.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2193.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target2193.txt
11314,I'm looking to hire someone for a position that requires occasional travel. How can I ensure I'm not unfairly excluding disabled applicants?,"To ensure you're not unfairly excluding disabled applicants, avoid specifying a driving licence as a requirement unless it's essential. For example, if the job involves occasional travel, consider allowing candidates to use public transport instead. If you reject a disabled candidate, base your decision solely on their performance during the interview, not on the need to make reasonable adjustments. You should also review your job specification to ensure it does not contain any barriers that could prevent disabled people from applying. If you need further guidance, consult the Equality Act 2010 and the resources on reasonable adjustments for workers with disabilities.",f89b1d5e0b,46-65,male,secondary,student,medium,England,moderate,service-user,procedural,medium,UK-wide,False,True,0.95,employment,recruitment,disabled people,file:///media/volume/data4t/odi_datasets/scraped_content/target1732.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1732.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1732.txt
15095,"If I'm a disabled candidate running for a parliamentary seat, can I get financial assistance for disability-related expenses through the EnAble Fund for Elected Office?","Yes, if you are a disabled candidate running for a parliamentary seat, you may be eligible for financial assistance through the EnAble Fund for Elected Office. This fund provides grants ranging from £250 to £40,000 to help cover disability-related costs associated with your election campaign. These costs can include specialist equipment, support staff, or other necessary expenses directly linked to your candidacy. However, the fund does not cover general campaigning costs such as leaflets or living expenses. You will not have to repay any money received, and you can apply directly through the official website by providing evidence of your disability and the specific costs related to your campaign.",4d65fb3865,46-65,female,secondary,student,high,Scotland,above moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Benefits and financial help,Disability benefits,Disabilities: Benefits and financial help,file:///media/volume/data4t/odi_datasets/scraped_content/target939.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target939.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target939.txt
9712,I need to apply for school transport for my child who has special educational needs and disabilities. What steps should I follow to ensure the transport provided meets their specific requirements?,"To apply for school transport for your child with special educational needs and disabilities, you should contact your local council and request the necessary forms. The council will assess your child's needs and provide transport that is suitable for their specific requirements. It is important to ensure that the transport meets your child's needs, so you should discuss any specific requirements with the council. The transport must be suitable for your child's needs, and the council must provide this transport free of charge if your child is entitled to it.",60c9f10860,26-45,female,secondary,student,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,True,0.9,disability,transport,school transport,file:///media/volume/data4t/odi_datasets/scraped_content/target980.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target980.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target980.txt
8567,What happens after I submit an appeal for a late filing penalty and how should I handle communication if I haven't paid the penalty yet?,"After submitting your appeal, you'll need to wait for Companies House to contact you with their decision. If you haven't paid the penalty, you might be contacted by a debt recovery agency or solicitors asking for payment. You should reply to them explaining that you have appealed the penalty. It's important to keep records of all communications and ensure you follow up with Companies House regarding the outcome of your appeal. If you're unable to appeal online, you can contact Companies House for assistance.",365ea7b0e3,26-45,female,tertiary,teacher,high,England,moderate,service-user,procedural,medium,UK-wide,False,False,0.95,Companies House,Penalties and Appeals,Appealing Penalties,file:///media/volume/data4t/odi_datasets/scraped_content/target461.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target461.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target461.txt
11747,"I want to apply for funding for my community project, which includes a street party. How can I find out if my local council offers such support?","To apply for funding for your community project, including a street party, you should contact your local council directly. They may have specific grant programs or funding opportunities available. You can check the council's website or visit their offices to inquire about eligibility criteria and application processes. It's also helpful to look for related content on the council's website, such as 'Organising a street party' or 'Apply for funding for community projects.' Being proactive and providing detailed information about your project will increase your chances of securing support.",41a3da869d,46-65,male,tertiary,teacher,medium,Scotland,above moderate,service-user,procedural,low,UK-wide,False,False,0.95,housing,local_services,funding_for_community_projects,file:///media/volume/data4t/odi_datasets/scraped_content/target1932.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1932.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1932.txt
20603,I'm a carer looking after my elderly relative with a severe disability. What support am I eligible for and how do I apply for Carer's Allowance?,"If you have substantial caring needs, you may be eligible for Carer's Allowance. To apply, you need to contact the DWP and provide details about your caring responsibilities, including how many hours you spend caring per week and the nature of the care required. You'll also need to provide proof of your relationship with the person you're caring for and your own financial situation. The DWP will assess your application and determine if you meet the criteria for Carer's Allowance. It's important to apply promptly to ensure you receive the support you're entitled to, which can help cover the costs of caring.",fd216b4d84,65+,female,secondary,teacher,high,Wales,moderate,service-user,procedural,medium,UK-wide,False,True,0.95,Benefits and financial support,Carer's Allowance,Carer's Allowance,file:///media/volume/data4t/odi_datasets/scraped_content/target954.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target954.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target954.txt
21841,Can I keep my engine running and doors locked while being stopped by a DVSA officer?,"Yes, if you're carrying a high-value load, you can keep your engine running, doors locked, and windows closed until you're sure you've been stopped by a genuine DVSA officer or police officer. This is to protect your cargo and ensure security. However, it's important to remain cooperative and follow the officer's instructions to avoid any misunderstandings or penalties.",c242352bab,under18,male,tertiary,retired,high,England,above moderate,service-user,informational,low,UK-wide,False,False,0.95,transport,road safety,roadside checks,file:///media/volume/data4t/odi_datasets/scraped_content/target1309.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1309.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-20,en,target1309.txt
18946,I'm 65 and living in Wales. How do I apply for my State Pension if I've worked abroad?,"To apply for your State Pension if you've worked abroad, you need to contact the International Pension Centre (IPC). You can do this by email or using the online enquiry form. However, it might take longer than usual to get a response. If you need to update your personal details like your address or bank details, you should contact them by phone or letter. It's important to check if you're eligible and whether you can claim your State Pension before reaching the UK State Pension age.",9c634d5628,65+,female,secondary,retired,low,Wales,above moderate,service-user,instructional,medium,UK-wide,False,False,0.9,Pensions,State Pension,Claiming State Pension,file:///media/volume/data4t/odi_datasets/scraped_content/target2709.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target2709.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-26,en,target2709.txt
2783,How can I renew my photocard driving licence online?,"To renew your photocard driving licence, you need to create a Driver and Vehicles account and log in. From there, you can renew your licence online. You'll need a valid photocard driving licence to proceed. If you're unable to renew online, you can apply by post or in person at a DVLA office. Ensure you have your personal details ready when applying.",23d7224bde,26-45,male,tertiary,nurse,medium,England,moderate,service-user,procedural,low,UK-wide,False,False,0.9,transportation,vehicle registration,vehicle and driver data and information,file:///media/volume/data4t/odi_datasets/scraped_content/target1239.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1239.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1239.txt
4836,What are the circumstances that could change my Council Tax band?,"Several circumstances can change your Council Tax band. These include demolishing part of your property without rebuilding it, altering your property to create self-contained units, splitting a property into flats, converting flats into a single property, starting or stopping work from home, changes made by the previous owner, or significant changes to your local area like new roads. If any of these apply, you should contact the Valuation Office Agency (VOA) to see if your band needs to be updated.",a41758dfa2,26-45,male,tertiary,student,low,Wales,moderate,service-user,instructional,medium,UK-wide,False,False,0.9,housing,council tax,changing council tax band,file:///media/volume/data4t/odi_datasets/scraped_content/target1883.txt,file:///media/volume/data4t/odi_datasets/scraped_content/target1883.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1883.txt
